bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weigth,wifi
,,Apple M1 8 nhân,,GPU 8 nhân,https://cellphones.com.vn/imac-2021-8gpu.html,Mac 24 2021,,,,38.990.000 ₫,,,,,,,,,,,,
,,Apple M1 8 nhân,,GPU 8 nhân,https://cellphones.com.vn/imac-2021-8gpu-16gb-512gb.html,Mac 24 2021,,,,49.990.000 ₫,,,,,,,,,,,,
,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,"GPU 8 nhân, 16 nhân Neural Engine",https://cellphones.com.vn/mac-mini-2020-m1-16gb.html,Mac mini M1 16GB 256GB 2020,,,,24.500.000 ₫,,,,,,,,,,,,
,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,"GPU 7 nhân, 16 nhân Neural Engine",https://cellphones.com.vn/macbook-air-2020-m1-16gb-512gb.html,MacBook Air M1 16GB 512GB 2020,,,,38.000.000 ₫,,,,,,,,,,,,
,,Apple M1 8 nhân,,GPU 7 nhân,https://cellphones.com.vn/imac-2021.html,Mac 24 2021,,,,33.990.000 ₫,,,,,,,,,,,,
bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weigth,wifi
,Xám (Space Grey),·          ,720p HD,Apple GPU with 7 core,https://www.hanoicomputer.vn//apple-macbook-air-13-z124sa-a-xam,Apple Macbook Air 13 (Z124000DE) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Xám),Mac OS,,"USB 3.1 Gen2, 2* Thunder Bolt 3",31.189.000,,,,16GB,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,Backlit Magic Keyboard; TouchID,1.29 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver) – vỏ nhôm khối,"Intel Core i7 (2.6Ghz, 12MB cache)",720p HD,AMD Radeon Pro 5300M 4GB DDR6,https://www.hanoicomputer.vn//apple-macbook-pro-16-touch-bar-mvvl2sa-a-i7-2-6ghz-16gb-ram-512gb-ssd-16-0-radeon-5300m-4g-16-0-mac-os-bac-2019,Macbook Pro 16 Touch Bar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,58.989.000,,,,16GB  DDR4,,"16.0"" (3072 x 1920)",,35.79 x 24.59 x 1.62 cm,,TouchID,2.0 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver) – Nhôm nguyên khối,"Intel Core i5 (1.6Ghz, 4MB cache)",720p HD,Intel UHD 617,https://www.hanoicomputer.vn//apple-macbook-air-13-mvfl2-i5-16ghz8gb-ram256gb-ssd133mac-osbac-2019,Macbook Air 13 2019,Mac OS,,"2 * USB Type C, 2* Thunder Bolt 3",31.999.000,,,,8GB LPDDR3,,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",, ,,TouchID,1.25 kg,Wifi 802.11ac - Bluetooth 4.2
,Xám (Space Grey),"Intel Core i5 (1.4Ghz, 6MB cache)",720p HD,Intel Iris Plus Graphics,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mxk32,Macbook Pro 13 Touchbar 2020,Mac OS,,"USB Type C, 2* Thunder Bolt 3",32.989.000,,,,8GB LPDDR3,,13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,TouchID,1.4 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver),·          ,720p HD,Apple GPU with 8-core,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-z11dsa-a-bac,Apple Macbook Pro 13 Touchbar (Z11D000E5) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Bạc),Mac OS,,"USB 3.1 Gen2, 2* Thunder Bolt 3",38.599.000,,,,16GB,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,Backlit Magic Keyboard; TouchID,1.4 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey) – vỏ nhôm khối,"Intel Core i5  (2.4Ghz, 8MB cache)",720p HD,Intel Iris Plus 655,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mv972-i5-24ghz8gb-ram512gb-ssd-133mac-osxam-2019,Macbook Pro 13 Touchbar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,42.999.000,,,,8GB  LPDDR3,,"Retina 13.3"" (2560x1600) IPS LED BackLit",, ,,TouchID,1.37 kg,Wifi 802.11ac - Bluetooth 5.0
